movie_title,release_date,popularity,box_office,city_name,weather_date,temperature,precipitation,holiday_name,holiday_date,days_difference
Black Widow,2021-01-01,7.2,10176.0,San Francisco,2021-01-01,9.9,0.0,,,
Black Widow,2021-01-01,7.2,10176.0,New York,2021-01-01,3.6,17.3,,,
Pretty Guardian Sailor Moon Eternal the Movie Part 1,2021-01-08,7.824,176.0,San Francisco,2021-01-08,12.0,0.0,,,
Pretty Guardian Sailor Moon Eternal the Movie Part 1,2021-01-08,7.824,176.0,New York,2021-01-08,1.4,0.0,,,
Creating The Queen's Gambit,2021-01-10,7.826,121.0,San Francisco,2021-01-10,11.0,0.0,,,
Creating The Queen's Gambit,2021-01-10,7.826,121.0,New York,2021-01-10,3.0,0.0,,,
The White Tiger,2021-01-13,7.0,876.0,San Francisco,2021-01-13,13.8,0.0,,,
The White Tiger,2021-01-13,7.0,876.0,New York,2021-01-13,4.1,0.0,,,
The Little Things,2021-01-28,6.335,2485.0,San Francisco,2021-01-28,11.5,13.5,,,
The Little Things,2021-01-28,6.335,2485.0,New York,2021-01-28,-0.5,0.0,,,
Nomadland,2021-01-29,7.199,2974.0,San Francisco,2021-01-29,10.6,6.6,,,
Nomadland,2021-01-29,7.199,2974.0,New York,2021-01-29,-4.6,0.0,,,
The Last Paradiso,2021-02-05,5.9,111.0,San Francisco,2021-02-05,11.4,0.0,,,
The Last Paradiso,2021-02-05,5.9,111.0,New York,2021-02-05,5.1,1.5,,,
Pretty Guardian Sailor Moon Eternal the Movie Part 2,2021-02-11,8.131,156.0,San Francisco,2021-02-11,12.3,11.9,,,
Pretty Guardian Sailor Moon Eternal the Movie Part 2,2021-02-11,8.131,156.0,New York,2021-02-11,-0.8,4.6,,,
Silk Road,2021-02-19,6.3,207.0,San Francisco,2021-02-19,13.4,0.8,,,
Silk Road,2021-02-19,6.3,207.0,New York,2021-02-19,0.2,7.3,,,
Billie Eilish: The World's a Little Blurry,2021-02-26,8.326,299.0,San Francisco,2021-02-26,12.2,0.0,,,
Billie Eilish: The World's a Little Blurry,2021-02-26,8.326,299.0,New York,2021-02-26,4.5,0.0,,,
Secret Magic Control Agency,2021-03-18,7.047,358.0,San Francisco,2021-03-18,13.2,9.9,,,
Secret Magic Control Agency,2021-03-18,7.047,358.0,New York,2021-03-18,6.8,11.2,,,
Zack Snyder's Justice League,2021-03-18,8.1,9974.0,San Francisco,2021-03-18,13.2,9.9,,,
Zack Snyder's Justice League,2021-03-18,8.1,9974.0,New York,2021-03-18,6.8,11.2,,,
Caught by a Wave,2021-03-25,6.6,247.0,San Francisco,2021-03-25,12.0,0.0,,,
Caught by a Wave,2021-03-25,6.6,247.0,New York,2021-03-25,12.4,1.1,,,
Shiva Baby,2021-03-26,7.198,609.0,San Francisco,2021-03-26,12.4,0.0,,,
Shiva Baby,2021-03-26,7.198,609.0,New York,2021-03-26,16.8,1.7,,,
The Swarm,2021-04-09,5.764,462.0,San Francisco,2021-04-09,11.5,0.0,,,
The Swarm,2021-04-09,5.764,462.0,New York,2021-04-09,10.5,0.0,,,
Chernobyl: Abyss,2021-04-15,6.267,511.0,San Francisco,2021-04-15,12.5,0.0,,,
Chernobyl: Abyss,2021-04-15,6.267,511.0,New York,2021-04-15,11.5,8.9,,,
Rogue Hostage,2021-06-11,5.645,190.0,San Francisco,2021-06-11,16.2,0.0,,,
Rogue Hostage,2021-06-11,5.645,190.0,New York,2021-06-11,19.1,0.4,,,
Hitman's Wife's Bodyguard,2021-06-14,6.7,2264.0,San Francisco,2021-06-14,18.7,0.0,,,
Hitman's Wife's Bodyguard,2021-06-14,6.7,2264.0,New York,2021-06-14,20.2,9.5,,,
Impossible Things,2021-06-17,8.44,389.0,San Francisco,2021-06-17,21.7,0.0,,,
Impossible Things,2021-06-17,8.44,389.0,New York,2021-06-17,21.8,0.0,,,
12 Mighty Orphans,2021-06-18,7.16,216.0,San Francisco,2021-06-18,20.1,0.0,,,
12 Mighty Orphans,2021-06-18,7.16,216.0,New York,2021-06-18,23.1,0.0,,,
Escape Room: Tournament of Champions,2021-07-01,6.546,2008.0,San Francisco,2021-07-01,17.5,0.0,,,
Escape Room: Tournament of Champions,2021-07-01,6.546,2008.0,New York,2021-07-01,24.6,27.8,,,
"The Good, the Bart, and the Loki",2021-07-07,7.3,662.0,San Francisco,2021-07-07,15.1,0.0,,,
"The Good, the Bart, and the Loki",2021-07-07,7.3,662.0,New York,2021-07-07,27.8,1.3,,,
The Stronghold,2021-08-18,7.4,1280.0,San Francisco,2021-08-18,17.8,0.0,,,
The Stronghold,2021-08-18,7.4,1280.0,New York,2021-08-18,25.4,1.1,,,
Shang-Chi and the Legend of the Ten Rings,2021-09-01,7.544,9401.0,San Francisco,2021-09-01,17.1,0.0,,,
Shang-Chi and the Legend of the Ten Rings,2021-09-01,7.544,9401.0,New York,2021-09-01,22.8,59.6,,,
The Tomorrow War,2021-09-03,7.53,3453.0,San Francisco,2021-09-03,16.3,0.0,,,
The Tomorrow War,2021-09-03,7.53,3453.0,New York,2021-09-03,21.1,0.2,,,
Venom: Let There Be Carnage,2021-09-30,6.799,10250.0,San Francisco,2021-09-30,18.6,0.0,,,
Venom: Let There Be Carnage,2021-09-30,6.799,10250.0,New York,2021-09-30,17.9,0.0,,,
Outlaws,2021-10-08,6.9,202.0,San Francisco,2021-10-08,15.5,0.0,,,
Outlaws,2021-10-08,6.9,202.0,New York,2021-10-08,21.1,0.2,,,
Firebird,2021-10-29,7.298,176.0,San Francisco,2021-10-29,16.6,0.0,,,
Firebird,2021-10-29,7.298,176.0,New York,2021-10-29,12.9,4.1,,,
